t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
11,35.819054175646976,4027,6038,3721.286243052741,164409.94590122337,0.4027,0.6038,-0.3495132475772255,0.0044076044076044,0.0036661726929400635,0.5,0.5,Medium ($d_a = 0.5$),local,10000,3461.017619643805,Local
12,35.2365320963516,6111,5975,4833.175924412117,216349.71536510796,0.6111,0.5975,-0.3399958899333583,0.009795009795009815,0.007657886628723308,0.5,0.5,Medium ($d_a = 0.5$),local,10000,3601.05444144659,Local
13,34.71346149645413,5581,6478,4770.631117308072,216045.36978018607,0.5581,0.6478,-0.3605832545820108,0.012668063383601784,0.008957953528057224,0.5,0.7,High ($d_a = 0.7$),local,10000,3728.9851288030122,Local
14,34.19834256133697,6852,6464,5317.366335733376,243544.19138513898,0.6852,0.6464,-0.37822045489706246,0.009151373177977382,0.007495212421588387,0.5,0.7,High ($d_a = 0.7$),local,10000,3845.5285089957633,Local
15,33.694048621474224,6811,6358,5255.154420519396,243344.92508321593,0.6811,0.6358,-0.580115036081132,-0.0024370408773347002,-0.0025869002043564866,0.5,0.7,High ($d_a = 0.7$),local,10000,3951.437964953951,Local
16,32.96890482637281,4246,5757,3824.2010641825577,179856.36421265628,0.4246,0.5757,-0.29567224948342347,0.016187717715887055,0.009736123114711203,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4042.9480083866447,Local
17,32.62105512109819,2028,4812,1990.4859566295786,94307.12442138096,0.2028,0.4812,-0.20498691845484956,-0.0036872331850986676,-0.004815078300921459,0.5,0.3,Low ($d_a = 0.3$),local,10000,4127.923929315431,Local
18,32.393291878370576,8284,6181,5548.368404878407,264139.555202317,0.8284,0.6181,-0.20892712368833477,0.013872944527625192,0.01144032897132561,0.5,0.7,High ($d_a = 0.7$),local,10000,4208.752574555782,Local
19,32.17336859027759,7166,6198,5289.91560970838,252998.84405405974,0.7166,0.6198,-0.12497025354450253,0.02440675053507949,0.016298027606511212,0.5,0.7,High ($d_a = 0.7$),local,10000,4285.675156291305,Local
20,32.04839833673309,4420,5585,3895.4857026793275,186794.77869983055,0.442,0.5585,-0.3534279977474856,0.0037320597129554107,0.0032642764997005184,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4360.421239386018,Local
21,31.711800243640244,4462,5705,3947.7017232836633,190627.40939244715,0.4462,0.5705,-0.28622020050905034,0.01618554205184715,0.010058644307585345,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4429.460448122849,Local
